,brand,year,month,channel,sales_qty,demand,orders,discount,AOS,UPT,AUR,discount_LY,AOS_LY,UPT_LY,orders_LY,demand_LY,AUR_LY,discount_YoY,traffic,traffic_YoY,traffic_LY,AOS_YoY,UPT_YoY,AUR_YoY,orders_YoY,demand_YoY,conversion,conversion_LY,conversion_YoY,date
12,ATHL,2024,8,ONL,443545,2477884,366353,29.9372735,67.636526,1.210703884,55.865457,32.199296,89.265305,1.575000708,388483,34678053.66,56.676359,-2.2620225,9911552,14.7137346,4010544,-21.628779,-2.312994668,-0.810902,-0.569651697,-2.8546036,3.696222347,9.686541277,-5.99031893,8/1/2024
13,ATHL,2024,9,ONL,1490497,8329552,530804,34.1774948,156.923306,2.807998809,55.884392,34.0364613,117.218491,1.928539697,497479,58313737.51,60.780958,0.1410335,9925003,-0.981234977,11004836,39.704815,4.560233391,-4.896566,0.669877523,4.2840302,5.348149517,4.520548966,0.827600551,9/1/2024
14,ATHL,2024,10,ONL,817706,4241779,532057,27.1270016,79.724154,1.536876688,51.874138,31.8867289,105.86062,1.686936035,412149,43630348.5,62.753191,-4.7597273,10816695,0.303074379,10498512,-26.136466,-0.889537861,-10.879053,2.909336187,-0.2779154,4.918849981,3.925784911,0.99306507,10/1/2024
15,ATHL,2024,11,ONL,2050086,10744093,909354,35.9907332,118.150834,2.254442164,52.408013,36.3230826,127.464052,2.169511456,976288,124441624.9,58.752422,-0.3323494,14370830,-1.032421322,16025318,-9.313218,0.39147389,-6.344409,-0.685596873,-1.366158,6.327776475,6.092159918,0.235616557,11/1/2024
16,ATHL,2024,12,ONL,1840290,8498373,933052,41.5601509,91.081448,1.972333803,46.17953,30.793162,89.523086,1.722415224,763954,68391519.84,51.975322,10.7669889,14405865,-0.211961332,14717826,1.558362,1.450977535,-5.795792,2.213457878,2.4260621,6.476889795,5.190671503,1.286218292,12/1/2024
17,ATHL,2025,1,ONL,998642,4673894,538019,37.2116208,86.872283,1.856146344,46.802497,30.2213931,79.057111,1.256548199,505597,39971038.15,62.916099,6.9902277,11174905,-1.195715511,12692576,7.815172,4.771787864,-16.113602,0.641261716,1.6932011,4.814528625,3.983407308,0.831121316,1/1/2025
18,ATHL,2025,2,ONL,686860,3774139,376539,26.7874424,100.232351,1.824140394,54.947717,28.9924352,103.369295,1.723642234,467680,48343751.86,59.971433,-2.2049928,9217819,-1.364218833,10673984,-3.136944,0.583056962,-5.023716,-1.948789771,-2.1931195,4.084903381,4.381494295,-0.296590914,2/1/2025
19,ATHL,2025,3,ONL,625406,3060175,384341,31.4841994,79.621347,1.627216456,48.931012,28.4232305,120.658903,2.134418616,598124,72168985.67,56.530102,3.0609689,7688269,-3.926642763,12659010,-41.037556,-2.376301236,-7.59909,-3.574225411,-5.7597093,4.999057655,4.724887649,0.274170006,3/1/2025
32,BR,2024,8,ONL,235954,1792579,172310,29.9496282,104.032192,1.369357553,75.971532,27.7962952,103.059138,1.276421885,175735,18111097.56,80.740654,2.153333,12657504,13.95611192,5283622,0.973054,0.728095225,-4.769122,-0.194895724,-0.1023188,1.361326846,3.326032786,-1.96470594,8/1/2024
33,BR,2024,9,ONL,584165,4268415,284744,35.6165147,149.903583,2.051544545,73.068646,37.7013522,138.181829,1.959377118,321666,44448396.35,70.523345,-2.0848375,15511273,-1.418621656,18075503,11.721754,0.470391466,2.545301,-1.147836576,-0.3969211,1.835722961,1.779568735,0.056154226,9/1/2024
34,BR,2024,10,ONL,172000,1404107,159537,30.4505328,88.011394,1.078119809,81.634149,31.6518569,140.006107,1.626195977,180501,25271242.36,86.09424,-1.2013241,13037012,-1.324213773,15026894,-51.994713,-3.370295926,-4.460091,-1.161434009,-4.443853,1.223723657,1.201186353,0.022537304,10/1/2024
35,BR,2024,11,ONL,605100,4514505,335519,35.902875,134.552898,1.803474617,74.607592,41.5349883,126.090082,1.808615146,477415,60197296.38,69.716369,-5.6321133,18864842,-1.91604287,23336148,8.462816,-0.02842246,4.891223,-2.972173057,-2.5004848,1.778541267,2.045817502,-0.267276234,11/1/2024
36,BR,2024,12,ONL,414639,2665631,293944,35.8883096,90.685004,1.410605421,64.288002,34.3571366,58.461306,0.953290933,236635,13833991.13,61.325776,1.531173,17224935,0.99813162,15661692,32.223698,4.797218479,2.962226,2.42183109,9.2687075,1.706502811,1.510915934,0.195586877,12/1/2024
37,BR,2025,1,ONL,205844,1576651,183099,34.082811,86.109213,1.124222415,76.594463,33.3421701,88.103582,1.2860644,203199,17902559.74,68.506353,0.7406409,12413761,-0.618684503,13232431,-1.994369,-1.258428308,8.08811,-0.989178096,-1.1931529,1.474967981,1.535613524,-0.060645543,1/1/2025
38,BR,2025,2,ONL,213180,1848799,144351,28.4373934,128.076661,1.476816925,86.724806,26.5347068,125.414661,1.460186909,152588,19136772.31,85.889457,1.9026866,10169948,-1.516084318,11987328,2.662,0.113889645,0.835349,-0.539819645,-0.3390217,1.419387788,1.272910861,0.146476928,2/1/2025
39,BR,2025,3,ONL,117895,1077828,104356,24.9784028,103.283804,1.129738587,91.422746,31.0678807,131.958705,1.957905694,287236,37903290.7,67.397886,-6.0894779,8932930,-4.73471118,16965698,-28.674901,-4.22986209,24.02486,-6.366889944,-7.1563723,1.168216923,1.693039685,-0.524822762,3/1/2025
72,GAP,2024,8,ONL,2801873,5826799,908300,50.036755,64.150603,3.084744027,20.796086,48.7672852,68.977984,3.111095042,968054,66774413.11,22.171609,1.2694698,36013167,17.20712829,13236666,-4.827381,-0.084700128,-1.375523,-0.617258955,-1.2739041,2.522133085,7.313427717,-4.791294631,8/1/2024
