year,month,channel,demand,demand_LY,traffic,orders,sales_qty,traffic_LY,orders_LY,conversion,conversion_LY,conversion_YoY,demand_YoY,AOS,UPT,ATHL_demand,BR_demand,ON_demand,GAP_demand,ATHL_demand_LY,BR_demand_LY,ON_demand_LY,GAP_demand_LY,ATHL_demand_contribution,BR_demand_contribution,ON_demand_contribution,GAP_demand_contribution,ATHL_demand_contribution_LY,BR_demand_contribution_LY,ON_demand_contribution_LY,GAP_demand_contribution_LY,ATHL_demand_contribution_YoY,BR_demand_contribution_YoY,ON_demand_contribution_YoY,GAP_demand_contribution_YoY
2024,8,ONL,269534302.7,284412774.1,116605720,110141,15880451,42211466,128900,0.000944559,0.003053673,-69.06809424,-5.231295049,2447.175009,144.1829201,24238297.79,17852119.99,169269005.6,58174879.33,34369906.79,17722404.13,165837622.3,66482840.83,8.992657909,6.623320227,62.80054297,21.58347889,12.08451586,6.231226494,58.30878127,23.37547638,-3.09185795,0.392093733,4.491761707,-1.79199749
2024,8,RTL,572725625.2,555693838.4,1367475403,15527561,39405637,1283534048,14511544,0.011354911,0.011305928,0.433244148,3.064958711,36.88445501,2.537786649,38416896.07,28612913.79,465908293.7,39787521.57,43940527.59,27797388.63,441228690.8,42727231.42,6.707731309,4.995919954,81.34930118,6.94704756,7.90732676,5.002284839,79.40140061,7.688987796,-1.199595451,-0.006364884,1.947900571,-0.741940235
2024,9,ONL,448763590.8,374651192.6,125083414,142878,21290232,128058927,124660,0.001142262,0.000973458,17.34061824,19.7817062,3140.886566,149.0098686,82909074.39,42591968.27,228272186.5,94990361.64,57934218.33,44204435.34,189807291.2,82705247.75,18.47500022,9.490958968,50.86691327,21.16712754,15.46350832,11.79882414,50.66240144,22.07526611,3.011491903,-2.307865167,0.204511828,-0.908138564
2024,9,RTL,555648543,474259349.8,916971650,15964737,32048625,1003756828,12969790,0.017410284,0.012921247,34.74151556,17.16132603,34.80474141,2.007463386,55757555.95,44327928.19,410888921.8,44674137.01,45402885.67,34444537.79,354150706,40261220.29,10.03468049,7.977691789,73.94762877,8.039998948,9.573429748,7.26280627,74.67448057,8.489283408,0.461250745,0.714885519,-0.726851804,-0.44928446
2024,10,ONL,451141184.6,516120627,152370880,114106,26256428,141151220,156402,0.00074887,0.001108046,-32.41523011,-12.58997199,3953.702563,230.105586,42212506.33,13940939.59,306534517.5,88453221.17,43331250.42,25152961.37,346699504.1,100936911,9.356828365,3.090150061,67.94647174,19.60654983,8.395566493,4.873465631,67.17412287,19.556845,0.961261873,-1.78331557,0.772348869,0.049704829
2024,10,RTL,511146509.4,642261886.6,1036852299,13984588,30576292,1044342935,17185584,0.013487541,0.016455882,-18.03817513,-20.41462835,36.55070206,2.186427802,40717004.16,31832131.23,396353865.7,42243508.36,54744457.91,40170925.07,491144806.8,56201696.8,7.965818686,6.227594368,77.54212508,8.264461868,8.523697117,6.254602041,76.47111203,8.750588813,-0.55787843,-0.027007674,1.071013049,-0.486126945
2024,11,ONL,595801867.8,669485098,180356128,113866,32438944,181702558,119375,0.00063134,0.00065698,-3.902781291,-11.00595524,5232.482635,284.8870075,107339453.8,45059193.28,327691532.5,115711688.2,124385984.9,60129347.96,344942778.1,140026987.1,18.01596463,7.562781475,55.0000848,19.42116909,18.57935079,8.98143187,51.52359315,20.91562419,-0.56338616,-1.418650396,3.476491652,-1.494455096
2024,11,RTL,701147411.2,688445246.1,1460628679,16750603,46712545,1377626534,16047375,0.011468078,0.011648567,-1.549456143,1.845050872,41.85804004,2.788708263,52825291.68,42433510.68,553033260.2,52855348.56,56447525.15,42677060.78,534216343.8,55104316.38,7.53412062,6.052009892,78.87546205,7.538407433,8.1992759,6.199049383,77.59750638,8.004168333,-0.66515528,-0.147039491,1.27795567,-0.4657609
2024,12,ONL,418377920.5,311328568,150530648,138214,23332190,140987760,151506,0.000918178,0.001074604,-14.55656825,34.38468663,3027.029971,168.8120596,84789459.09,26631126.53,220500793.4,86456541.49,68273047.69,13771378.63,171978406,57305735.66,20.26623656,6.365327908,52.70373568,20.66469985,21.9295801,4.423422727,55.24016222,18.40683495,-1.663343537,1.941905181,-2.53642654,2.257864897
2024,12,RTL,809835876.4,812139323.9,1646254018,20598880,52375617,1749166147,20266388,0.012512577,0.011586314,7.994458254,-0.283627144,39.31455867,2.54264392,77001237.77,54401124.29,612365066.3,66068448.04,84796452.71,54092058.11,604265675.2,68985137.88,9.50825223,6.717549306,75.6159469,8.158251563,10.4411214,6.660440705,74.40418872,8.494249182,-0.932869166,0.057108601,1.211758184,-0.335997619
